628	177	742	607	397	585	1161	1300	1469	573	
679	225	676	456	606	870	1464	1585	1669	867	
157	392	1217	1038	852	885	1225	1522	1867	600	
669	818	1490	1393	940	741	735	1142	1689	328	
1208	1284	1791	1761	1192	869	375	862	1571	628	
1496	1454	1786	1812	1199	845	173	529	1285	797	
1144	975	1258	1280	667	313	361	526	1052	404	
1208	868	885	960	358	187	755	666	817	603	
1258	764	249	402	382	710	1377	1278	1091	1008	
1445	967	305	323	880	1233	1908	1833	1570	1451	
1695	1194	365	593	894	1206	1856	1679	1271	1521	
2037	1561	886	1141	1047	1195	1689	1351	709	1603	
1747	1361	1050	1233	792	729	1057	687	284	1136	
477	148	895	743	528	643	1144	1341	1580	520	
351	157	984	802	672	786	1249	1475	1728	613	
421	112	913	711	684	851	1356	1555	1757	725	
707	205	623	454	444	707	1317	1422	1514	742	
1110	609	233	227	406	760	1434	1399	1284	981	
1069	587	325	70	616	963	1626	1633	1533	1111	
1218	723	147	111	603	957	1631	1584	1408	1169	
1524	1022	212	469	698	1013	1669	1515	1175	1325	
2197	1763	1224	1463	1199	1226	1561	1140	388	1640	
2349	1973	1579	1795	1403	1314	1445	967	328	1698	
2378	2078	1852	2034	1538	1346	1253	775	581	1663	
2219	1990	1922	2066	1502	1238	970	549	786	1479	
1966	1800	1878	1981	1378	1064	650	356	948	1224	
1713	1470	1470	1585	997	719	596	121	640	982	
2111	2074	2322	2384	1765	1416	787	828	1507	1421	
617	197	746	523	652	896	1470	1612	1722	860	
213	309	1127	923	855	959	1374	1634	1911	738	
1251	785	338	184	801	1154	1824	1801	1626	1322	
1634	1149	396	503	996	1340	2011	1891	1549	1595	
1443	950	186	312	783	1131	1804	1707	1428	1379	
752	425	834	775	291	327	904	1037	1274	372	
727	259	654	541	314	551	1164	1266	1391	610	
520	380	1040	928	549	521	927	1171	1509	293	
468	650	1385	1260	882	760	904	1270	1746	361	
1447	1229	1341	1419	806	486	412	232	804	713	
1887	1552	1327	1498	1001	845	970	518	243	1210	
965	477	432	394	231	577	1245	1252	1243	776	
913	502	664	649	94	328	990	1029	1144	547	
581	86	755	587	489	691	1256	1406	1565	653	
475	145	876	662	702	897	1423	1607	1779	795	
334	208	1010	802	776	920	1389	1614	1845	752	
392	443	1187	1053	719	672	978	1278	1666	352	
127	602	1423	1214	1123	1170	1467	1794	2151	864	
150	460	1268	1053	1008	1097	1469	1756	2060	841	
356	547	1282	1045	1119	1257	1670	1937	2190	1037	
312	707	1493	1265	1260	1341	1663	1982	2311	1055	
270	753	1571	1358	1271	1304	1559	1908	2291	977	
274	751	1577	1394	1187	1153	1325	1702	2147	783	
412	763	1552	1402	1086	984	1080	1476	1970	584	
229	609	1423	1255	1006	966	1176	1532	1961	605	
133	518	1342	1164	958	957	1229	1559	1948	628	
806	1024	1704	1608	1147	921	757	1213	1825	522	
1257	1292	1752	1737	1152	817	271	757	1473	626	

